Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yew, M.K., Yew, M.C., Beh, J.H., Saw, L.H., Lee, F.W., Ng, T.C.","36770106800;36877224600;57202002676;55791543200;56239335100;57194110299;","Influence of high-performance polypropylene fibre and heat-treated dura oil palm shell on durability properties of lightweight concrete",2020,"European Journal of Environmental and Civil Engineering","24","14",,"2469","2488",,4,"10.1080/19648189.2018.1509022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055744386&doi=10.1080%2f19648189.2018.1509022&partnerID=40&md5=22a3dd14311fb71e41125acc2d808512",Article,"Final","",Scopus,2-s2.0-85055744386
"Bomrungnok, W., Arai, T., Yoshihashi, T., Sudesh, K., Hatta, T., Kosugi, A.","55673937700;7404175420;6701436975;6602451896;57208760089;7007093308;","Direct production of polyhydroxybutyrate from waste starch by newly-isolated Bacillus aryabhattai T34-N4",2020,"Environmental Technology (United Kingdom)","41","25",,"3318","3328",,7,"10.1080/09593330.2019.1608314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065715488&doi=10.1080%2f09593330.2019.1608314&partnerID=40&md5=b1e5e33ded9fbc7628277b31babcbbc6",Article,"Final","",Scopus,2-s2.0-85065715488
"Latif, H.A., Zaman, I., Yahya, M.N., Sambu, M., Meng, Q.","57163228000;36544499800;55995246500;57163822900;57218830297;","Analysis on sound absorber panel made of oil palm mesocarp fibre using delany-bazley and johnson-champoux-allard models",2020,"International Journal of Nanoelectronics and Materials","13","Special Issue ISSTE 2019",,"393","406",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090372160&partnerID=40&md5=d432d2fba265979762faf14300d41115",Article,"Final","",Scopus,2-s2.0-85090372160
"Tao, H.H., Donough, C., Hoffmann, M.P., Lim, Y.L., Hendra, S., Rahmadsyah, Abdurrohim, G., Indrasuara, K., Lubis, A., Dolong, T., Oberthür, T.","56988497400;6506517446;56785023200;57191109795;57195619909;56286808700;56287369100;56287877900;55628302100;56287661800;35871410000;","Effects of best management practices on dry matter production and fruit production efficiency of oil palm",2017,"European Journal of Agronomy","90",,,"209","215",,6,"10.1016/j.eja.2017.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029279848&doi=10.1016%2fj.eja.2017.07.008&partnerID=40&md5=aa3b1b80bec16d77c89fd6065793038e",Article,"Final","",Scopus,2-s2.0-85029279848
"Aminah, H., Ab Rasip, A.G., Mohd Zaki, A., Abdul Khalim, A.S., Kassim, E., Yusof, Y.","6602979984;6505482291;6506101229;6505666140;6602379873;6506872042;","Effects of potting media and size of root trainers on the growth of Shorea leprosula seedlings",2004,"Journal of Tropical Forest Science","16","2",,"145","150",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942527066&partnerID=40&md5=74a1ac9f51ffbb1ad388c3464d560151",Article,"Final","",Scopus,2-s2.0-2942527066
"Finger, S.A., Wolf, T.K., Baudoin, A.B.","36831303600;7201702115;6701409922;","Effects of horticultural oils on the photosynthesis, fruit maturity, and crop yield of winegrapes",2002,"American Journal of Enology and Viticulture","53","2",,"116","124",,19,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036326108&partnerID=40&md5=662921a5a50211b60dd9dfc3ad568b0c",Article,"Final","",Scopus,2-s2.0-0036326108
"Jahya, Z., Haron, Z., Yahya, K., Awang, A.Z., Zulkarnain Tahmali, M.S.T., Samsul, M.S.N., Yahya, M.N., Jailani, A.A.","55256277000;35221577400;35254711500;56084659500;57213142930;57213140659;55995246500;57213161697;","Acoustical Properties of Porous Concrete Containing Oil Palm Shell and Vermiculite",2020,"Lecture Notes in Civil Engineering","53",,,"905","917",,,"10.1007/978-3-030-32816-0_67","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077562086&doi=10.1007%2f978-3-030-32816-0_67&partnerID=40&md5=be8fd17baa7c2ec269bdbaea5fd37c40",Book Chapter,"Final","",Scopus,2-s2.0-85077562086
"Pamornnak, B., Limsiroratana, S., Chongcheawchamnan, M.","55616410000;35746565800;6603710418;","Oil content determination scheme of postharvest oil palm for mobile devices",2015,"Biosystems Engineering","134",,,"8","19",,6,"10.1016/j.biosystemseng.2015.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926040227&doi=10.1016%2fj.biosystemseng.2015.03.010&partnerID=40&md5=10f7d411b4622e964097f36ae68dcb2c",Article,"Final","",Scopus,2-s2.0-84926040227
"Sasthiryar, S., Abdul Khalil, H.P.S., Ahmad, Z.A., Islam, M.N., Dungani, R., Fizree, H.M.","56004954600;6601912918;56036883500;57203774424;55221850100;54941028900;","Carbon nanofiller-enhanced ceramic composites: Thermal and electrical studies",2014,"BioResources","9","2",,"3145","3151",,3,"10.15376/biores.9.2.3143-3151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928649089&doi=10.15376%2fbiores.9.2.3143-3151&partnerID=40&md5=de13df9606cbc33d92161a9250a084a7",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84928649089
"Ooi, Z.X., Ismail, H., Abu Bakar, A.","36165752600;7102329732;55629696700;","Synergistic effect of oil palm ash filled natural rubber compound at low filler loading",2013,"Polymer Testing","32","1",,"38","44",,28,"10.1016/j.polymertesting.2012.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868551474&doi=10.1016%2fj.polymertesting.2012.09.007&partnerID=40&md5=20513df2c9b0ee9aab89206aec703781",Article,"Final","",Scopus,2-s2.0-84868551474
"Zhen, J., Tripler, E., Peng, X., Lazarovitch, N.","57194414065;19639502800;57194411312;6504546039;","A wireless device for continuous frond elongation measurement",2017,"Computers and Electronics in Agriculture","140",,,"1","7",,3,"10.1016/j.compag.2017.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020015945&doi=10.1016%2fj.compag.2017.05.011&partnerID=40&md5=1850ea69b710906c78761a29bb2bad91",Article,"Final","",Scopus,2-s2.0-85020015945
"Zude, M., Pflanz, M., Spinelli, L., Dosche, C., Torricelli, A.","16305972400;23098076200;7006522260;15060938000;7003698688;","Non-destructive analysis of anthocyanins in cherries by means of Lambert-Beer and multivariate regression based on spectroscopy and scatter correction using time-resolved analysis",2011,"Journal of Food Engineering","103","1",,"68","75",,41,"10.1016/j.jfoodeng.2010.09.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649327010&doi=10.1016%2fj.jfoodeng.2010.09.021&partnerID=40&md5=a9377ee628ec5d4a0d0451d51d5e9c1e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-78649327010
"Nainar, A., Bidin, K., Walsh, R.P.D., Ewers, R.W., Reynolds, G.","57193735480;6603359719;7201782438;56821362600;54383861200;","Effects of different land-use on suspended sediment dynamics in sabah (Malaysian borneo) - A view at the event and annual timescales",2017,"Hydrological Research Letters","11","1",,"79","84",,8,"10.3178/HRL.11.79","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032456082&doi=10.3178%2fHRL.11.79&partnerID=40&md5=e271c744bde8bf02e8cdc953a13a74e9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85032456082
"Puan, C.L., Goldizen, A.W., Zakaria, M., Hafidzi, M.N., Baxter, G.S.","18038366400;6701544380;56099431100;57193004726;7202105755;","Absence of differential predation on rats by Malaysian Barn Owls in oil palm plantations",2011,"Journal of Raptor Research","45","1",,"71","78",,12,"10.3356/JRR-10-18.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952998625&doi=10.3356%2fJRR-10-18.1&partnerID=40&md5=548939f4e463e3b2798eb96033f64ed3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-79952998625
"Fito, P., Castro-Giráldez, M., Fito, P.J., Chenoll, C.","14622677500;35309788700;23089848100;16743518900;","Development of a dielectric spectroscopy technique for the determination of apple (Granny Smith) maturity",2010,"Innovative Food Science and Emerging Technologies","11","4",,"749","754",,38,"10.1016/j.ifset.2010.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049426054&doi=10.1016%2fj.ifset.2010.08.002&partnerID=40&md5=eca2239226fffa7cd95f587af871b745",Article,"Final","",Scopus,2-s2.0-78049426054
"Nasri, N.N., Nawi, N.M., Baharuddin, A.S., Lazim, S.M.","57256385900;57189925855;26021042500;57193028581;","Determination of tensile properties for twisted fibre bundles of oil palm empty fruit bunch at different diameters",2021,"Basrah Journal of Agricultural Sciences","34","Special Issue 1",,"149","156",,,"10.37077/25200860.2021.34.SP1.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114773881&doi=10.37077%2f25200860.2021.34.SP1.15&partnerID=40&md5=91ce49b91c25644f0f9a5a1f7cda56d5",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85114773881
"Rastogi, A., Pandey, F.P., Hegde, G., Manohar, R.","57210477623;57208664194;24175984300;7004181881;","Time-resolved fluorescence and UV absorbance study on Elaeis guineensis/oil palm leaf based carbon nanoparticles doped in nematic liquid crystals",2020,"Journal of Molecular Liquids","304",,"112773","","",,5,"10.1016/j.molliq.2020.112773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080968501&doi=10.1016%2fj.molliq.2020.112773&partnerID=40&md5=e7e24a42ca9a43344e7f810d1ec1fc8e",Article,"Final","",Scopus,2-s2.0-85080968501
"Nasir, S., Hussein, M.Z., Zainal, Z., Yusof, N.A.","57195138515;7201898729;7004044551;57187020900;","Development of New Carbon-Based Electrode Material from Oil Palm Waste-Derived Reduced Graphene Oxide and Its Capacitive Performance Evaluation",2019,"Journal of Nanomaterials","2019",,"1970365","","",,1,"10.1155/2019/1970365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076885642&doi=10.1155%2f2019%2f1970365&partnerID=40&md5=179624c1d4e9da85f443fa511147c292",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076885642
"Kerdtongmee, P., Saleh, A., Eadkhong, T., Danworaphong, S.","54381869800;56340861600;55191303200;6508213320;","Investigating Sound Absorption of Oil Palm Trunk Panels Using One-microphone Impedance Tube",2016,"BioResources","11","4",,"8409","8418",,5,"10.15376/BIORES.11.4.8409-8418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032672477&doi=10.15376%2fBIORES.11.4.8409-8418&partnerID=40&md5=accccdb1fd604d950112a10ab21f229f",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85032672477
"de Farias, M.P., de Capdeville, G., Falcão, R., de Moraes, P.B., Leão, A.P., Camillo, J., da Cunha, R.N.V., Alves, A.A., Souza, M.T.","57201822396;6506212587;7006585680;57201821847;56985679000;29667514400;34970934000;55796630099;7102353785;","Microscopic characterization of American oil palm (Elaeis oleifera (Kunth) Cortés) floral development",2018,"Flora: Morphology, Distribution, Functional Ecology of Plants","243",,,"88","100",,3,"10.1016/j.flora.2018.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046168039&doi=10.1016%2fj.flora.2018.04.005&partnerID=40&md5=6b109836e780c38fea8a5aeecb374bbd",Article,"Final","",Scopus,2-s2.0-85046168039
"Hongsen, K., Melhan, M., Handika, N., Sentosa, B.O.B.","57223217215;57223245216;56269940900;57200689345;","Parameterization of Oil Palm Shell Concrete on Numerical Damage Model Based on Laboratory Experiment using Digital Image Correlation",2021,"Journal of Physics: Conference Series","1858","1","012029","","",,,"10.1088/1742-6596/1858/1/012029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105262833&doi=10.1088%2f1742-6596%2f1858%2f1%2f012029&partnerID=40&md5=e79d152be595f0784fdacce68dc92e6f",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85105262833
"Zawawi, N.A., Ismail, A., Abdan, K., Mahdi, M.A.","37049500700;55651788000;34768361100;7005348074;","From waste to electronics: Printed circuit boards using renewable resources of oil palm empty fruit bunch",2012,"Advanced Materials Research","567",,,"263","266",,,"10.4028/www.scientific.net/AMR.567.263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869761882&doi=10.4028%2fwww.scientific.net%2fAMR.567.263&partnerID=40&md5=792473f67d740183ae058d1aa85369e9",Conference Paper,"Final","",Scopus,2-s2.0-84869761882
"Jacob, M., Thomas, S., Varughese, K.T.","23005088200;7404654376;7006002453;","Natural rubber composites reinforced with sisal/oil palm hybrid fibers: Tensile and cure characteristics",2004,"Journal of Applied Polymer Science","93","5",,"2305","2312",,67,"10.1002/app.20696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4043094017&doi=10.1002%2fapp.20696&partnerID=40&md5=a1cbbf4e94edcc47c93a4996fb899d59",Article,"Final","",Scopus,2-s2.0-4043094017
"Koo, V.C., Chan, Y.K., Gobi, V., Chua, M.Y., Lim, C.H., Lim, C.S., Thum, C.C., Lim, T.S., Ahmad, Z., Mahmood, K.A., Shahid, M.H., Ang, C.Y., Tan, W.Q., Tan, P.N., Yee, K.S., Cheaw, W.G., Boey, H.S., Choo, A.L., Sew, B.C.","55663712200;9243982200;6504366905;35219571500;53878048800;16177849200;57196801141;10939658400;57201498080;57225786835;57206134631;54400773000;54421211700;35763279400;54401831700;54400684900;54419597500;54419717500;37114044000;","A new unmanned aerial vehicle synthetic aperture radar for environmental monitoring",2012,"Progress in Electromagnetics Research","122",,,"245","268",,81,"10.2528/pier11092604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81755166528&doi=10.2528%2fpier11092604&partnerID=40&md5=5fc60fe0fc5a74b5716f52f1b5d16d6e",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-81755166528
"Martins, R.N., Pinto, F.A.C., Queiroz, D.M., Valente, D.S.M., Rosas, J.T.F.","57218820885;7102739792;6602255317;55081047300;57215970658;","A novel vegetation index for coffee ripeness monitoring using aerial imagery",2021,"Remote Sensing","13","2","263","1","16",,2,"10.3390/rs13020263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100472936&doi=10.3390%2frs13020263&partnerID=40&md5=a3253d38102555ef9823e1dec53f5d52",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100472936
"Kurniawan, S., Corre, M.D., Matson, A.L., Schulte-Bisping, H., Utami, S.R., Van Straaten, O., Veldkamp, E.","55876481800;6701346260;34571256800;6507408464;8606936000;16029895000;6701642345;","Conversion of tropical forests to smallholder rubber and oil palm plantations impacts nutrient leaching losses and nutrient retention efficiency in highly weathered soils",2018,"Biogeosciences","15","16",,"5131","5154",,18,"10.5194/bg-15-5131-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052700322&doi=10.5194%2fbg-15-5131-2018&partnerID=40&md5=ebb133d327cd9eeba3cdc27b9cfbe1e5",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85052700322
"Abdullah, H., Damit, D.S.A., Taib, M.N., Noor, N.M., Ali, W.K.W., Jalil, S.Z.A., Abdullah, A.T., Zanal, A.","7004172391;55247427200;56216710600;57209113690;7004926710;36069490300;55232596600;55232351500;","Green microwave radiation absorbing paint",2012,"Proceedings of the 2012 International Conference on System Engineering and Technology, ICSET 2012",,,"6339322","","",,5,"10.1109/ICSEngT.2012.6339322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871151852&doi=10.1109%2fICSEngT.2012.6339322&partnerID=40&md5=5a54fa08e370982e70d033da780da04d",Conference Paper,"Final","",Scopus,2-s2.0-84871151852
"Nnodim, C.T., Fath El-Bab, A.M.R., Ikua, B.W., Sila, D.N.","57213353069;17433761800;6506831585;6506117421;","Design and simulation of a tactile sensor for fruit ripeness detection",2019,"Lecture Notes in Engineering and Computer Science","2019-October",,,"390","395",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083388205&partnerID=40&md5=4e20ca1aaea717f13d5fa244d18046fb",Conference Paper,"Final","",Scopus,2-s2.0-85083388205
"Abdullah, A.H., Shakaff, A.Y.Md., Zakaria, A., Saad, F.S.A., Shukor, S.A.A., Mat, A.","26029734700;8721012500;36560557700;57205307496;57214325384;57076235500;","Application specific electronic nose (ASEN) for ganoderma boninense detection using artificial neural network",2011,"2014 2nd International Conference on Electronic Design, ICED 2014",,,"7015788","148","152",,7,"10.1109/ICED.2014.7015788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949926012&doi=10.1109%2fICED.2014.7015788&partnerID=40&md5=b5890a5456ff0d15cd3cabf52ba199af",Conference Paper,"Final","",Scopus,2-s2.0-84949926012
"Ribera-Fonseca, A., Noferini, M., Rombolá, A.D.","55866625700;6507506723;6603606564;","Non-destructive assessment of highbush blueberry fruit maturity parameters and anthocyanins by using a visible/ near infrared (Vis/NIR) spectroscopy device: A preliminary approach",2016,"Journal of Soil Science and Plant Nutrition","16","1",,"174","186",,4,"10.4067/S0718-95162016005000014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964766162&doi=10.4067%2fS0718-95162016005000014&partnerID=40&md5=290b7803cd3e14d55d30dfce0c8a9b39",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84964766162
"Molina-Delgado, D., Alegre, S., Barreiro, P., Valero, C., Ruiz-Altisent, M., Recasens, I.","26537762100;26664331200;7004761115;7004915750;56182360700;6602143306;","Addressing potential sources of variation in several non-destructive techniques for measuring firmness in apples",2009,"Biosystems Engineering","104","1",,"33","46",,23,"10.1016/j.biosystemseng.2009.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349098951&doi=10.1016%2fj.biosystemseng.2009.05.004&partnerID=40&md5=2f251d14fff9ce7c896d75ed8eecc8f5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-68349098951
"Adhi, Y.A., Anwar, S., Tarigan, S.D., Sahari, B.","57216397684;7005876562;57073753500;57195572269;","Relationship between groundwater level and water content in oil palm plantation on drained peatland in Siak, Riau Province, Indonesia",2020,"Pertanika Journal of Tropical Agricultural Science","43","3",,"45","427",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092267345&partnerID=40&md5=a339a57c0e38075076b5871c7ed03cee",Article,"Final","",Scopus,2-s2.0-85092267345
[No author name available],[No author id available],"American Society of Agricultural and Biological Engineers - International Conference on Crop Harvesting and Processing 2007",2007,"American Society of Agricultural and Biological Engineers - International Conference on Crop Harvesting and Processing 2007",,,,"","",161,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-52049096578&partnerID=40&md5=bdea4b9c368982e24b20bdc07c52d720",Conference Review,"Final","",Scopus,2-s2.0-52049096578
